OID_,CGI,FREQUENCY,PCI,ECI,LONGITUDE (processed),LATITUDE (processed),angle,TAC,Down frequency,Bandwidth,Electrical Tilt,Mechanical Tilt,Antenna transmit power(dBm),Height
41,10092751256,112,768,41339908352,106.7331208,29.58412029,60,10121472,636664,100M,6,10,24,93
42,10092751257,213,769,41339908353,106.7331208,29.58412029,160,10121472,636664,100M,6,10,24,93
43,10092751258,746,770,41339908354,106.7331208,29.58412029,320,10121472,636664,100M,6,10,24,93
44,10092751259,309,144,41339908355,106.7345579,29.58257033,50,10121472,636664,100M,6,12,24,99
45,10092751260,846,145,41339908356,106.7345579,29.58257033,145,10121472,636664,100M,6,12,24,99
46,10092751261,172,146,41339908357,106.7345579,29.58257033,235,10121472,636664,100M,6,12,24,99
47,10092755256,571,72,41339924736,106.7358737,29.60333942,60,10121472,636664,100M,0,4,24,20
48,10092755257,69,73,41339924737,106.7358737,29.60333942,180,10121472,636664,100M,0,4,24,20
49,10092755258,364,74,41339924738,106.7358737,29.60333942,320,10121472,636664,100M,0,4,24,20
50,10092757256,417,126,41339932928,106.7229594,29.59388906,80,10121472,636664,100M,0,4,24,25
51,10092757257,97,127,41339932929,106.7229594,29.59388906,240,10121472,636664,100M,0,4,24,25
52,10092757258,63,128,41339932930,106.7229594,29.59388906,330,10121472,636664,100M,0,4,24,25
53,10092757259,7,348,41339932931,106.7199599,29.59701501,0,10121472,636664,100M,0,4,24,17
54,10092757260,40,49,41339932932,106.7199599,29.59701501,90,10121472,636664,100M,0,7,24,17
55,10092757261,133,50,41339932933,106.7199599,29.59701501,180,10121472,636664,100M,0,8,24,17
56,10092757262,102,423,41339932934,106.7199599,29.59701501,270,10121472,636664,100M,6,7,24,17
57,10092759261,29,86,41339941125,106.7553977,29.60735375,270,10121472,636664,100M,6,0,24,25
58,10092760256,6,39,41339945216,106.723709,29.58068303,140,10116864,636664,100M,0,4,24,9
59,10092770256,261,753,41339986176,106.7537242,29.59519505,70,10121472,636664,100M,6,0,24,18
60,10092770257,3710,889,41339986177,106.7537242,29.59519505,230,10121472,636664,100M,6,2,24,18
61,10092770258,1999,755,41339986178,106.7537242,29.59519505,340,10121472,636664,100M,0,4,24,18
62,10092772256,867,540,41339994368,106.7401009,29.60490292,20,10121472,636664,100M,0,4,24,25
63,10092772257,95,541,41339994369,106.7401009,29.60490292,220,10121472,636664,100M,0,4,24,25
64,10092772258,474,542,41339994370,106.7401009,29.60490292,310,10121472,636664,100M,0,4,24,25
65,10092773256,83,543,41339998464,106.7335166,29.60721681,40,10121472,636664,100M,6,4,24,30
66,10092773257,74,544,41339998465,106.7335166,29.60721681,190,10121472,636664,100M,6,4,24,30
67,10092773258,18,545,41339998466,106.7335166,29.60721681,300,10121472,636664,100M,6,4,24,30
68,10092774256,143,174,41340002560,106.7304354,29.60627853,140,10121472,636664,100M,0,4,24,25
69,10092774257,105,175,41340002561,106.7304354,29.60627853,230,10121472,636664,100M,0,4,24,25
70,10092774259,17,156,41340002563,106.72998,29.60336583,40,10121472,636664,100M,0,4,24,18
71,10092774260,58,106,41340002564,106.72998,29.60336583,130,10121472,636664,100M,0,4,24,18
72,10092774261,143,107,41340002565,106.72998,29.60336583,260,10121472,636664,100M,0,4,24,18
73,10092774262,39,105,41340002566,106.72998,29.60336583,320,10121472,636664,100M,0,4,24,18
74,10092778256,487,534,41340018944,106.7234598,29.59000089,40,10121472,636664,100M,0,4,24,21
75,10092778257,97,535,41340018945,106.7234598,29.59000089,290,10121472,636664,100M,0,4,24,21
76,10092778259,165,153,41340018947,106.7217341,29.59872567,100,10121472,636664,100M,0,4,24,15
